Date,Open,High,Low,Close,Adj Close,Volume,Price Return,Total Return,Source,Quality Flag,Source Notes
2014-12-17,,,,3465.3140676198,3465.3140676198,,0.060551702,0.060551702,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-18,,,,3712.2779688143,3712.2779688143,,0.0712673935,0.0712673935,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-19,,,,3760.2740825803,3760.2740825803,,0.0129290194,0.0129290194,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-22,,,,3810.3085524934,3810.3085524934,,0.0133060699,0.0133060699,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-23,,,,3831.2575344692,3831.2575344692,,0.0054979752,0.0054979752,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-24,,,,3830.9773620107,3830.9773620107,,-0.0000731281,-0.0000731281,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-26,,,,3865.0579053005,3865.0579053005,,0.008896044,0.008896044,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-29,,,,3879.0262618921,3879.0262618921,,0.0036140097,0.0036140097,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-30,,,,3819.5258203298,3819.5258203298,,-0.0153390149,-0.0153390149,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-31,,,,3704.434155095,3704.434155095,,-0.0301324485,-0.0301324485,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2015-01-02,,,,3694.3777233733,3694.3777233733,,-0.0027147012,-0.0027147012,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
