Date,Open,High,Low,Close,Adj Close,Volume,Price Return,Total Return,Source,Quality Flag,Source Notes
1975-12-05,,,,138,134.7672638186,,-0.0061217141,-0.0061326059,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-08,,,,137.25,134.0304264123,,-0.0054347826,-0.0054674806,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-09,,,,137.25,134.0289575857,,0,-0.0000109589,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-10,,,,139.4,136.1270086358,,0.0156648452,0.0156537146,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-11,,,,140.2,136.906724964,,0.0057388809,0.0057278591,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-12,,,,138.7,135.4404754229,,-0.0106990014,-0.0107098431,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-15,,,,138.15,134.8989655383,,-0.0039653929,-0.0039981393,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-16,,,,138.8,135.5321840207,,0.0047050308,0.0046940203,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-17,,,,138.85,135.5795210343,,0.0003602305,0.0003492677,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
1975-12-18,,,,138.9,135.6268569941,,0.0003601008,0.000349138,LBMA Gold Price PM spot (price) minus GLD expense drag (total return),model_gld_tracking_lbma_pm_spot_minus_gld_expense,"Close = LBMA Gold Price PM USD/oz (pure spot). Adj Close = spot total return minus GLD expense drag (0.0040/yr, actual/365); models GLD before its 2004 inception. LBMA (London) trading calendar."
